territory_no,habitat,week_no,pre_post_treatment,pre_post_removal,pair_id,fertilizer_treatment,territory_id,total_fish,territory_length,territory_width,territory_height,count,fish_size
T16,Fringing,32,Post-treatment,Post-removal,H-Fringing,Y,16-H-R-Y,2,71,42,31,1,8
T17,Fringing,32,Post-treatment,Post-removal,I-Fringing,N,17-I-R-N,3,145,92,94,1,14
T17,Fringing,32,Post-treatment,Post-removal,I-Fringing,N,17-I-R-N,3,145,92,94,1,12
T17,Fringing,32,Post-treatment,Post-removal,I-Fringing,N,17-I-R-N,3,145,92,94,1,8
T18,Fringing,32,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,5,124,138,39,1,14
T18,Fringing,32,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,5,124,138,39,3,12
T18,Fringing,32,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,5,124,138,39,1,8
T19,Fringing,32,Post-treatment,Post-removal,J-Fringing,N,19-J-R-N,6,153,207,141,3,12
T19,Fringing,32,Post-treatment,Post-removal,J-Fringing,N,19-J-R-N,6,153,207,141,2,10
T19,Fringing,32,Post-treatment,Post-removal,J-Fringing,N,19-J-R-N,6,153,207,141,1,8
T20,Fringing,32,Post-treatment,Post-removal,J-Fringing,Y,20-J-R-Y,4,166,95,64,1,14
T20,Fringing,32,Post-treatment,Post-removal,J-Fringing,Y,20-J-R-Y,4,166,95,64,1,8
T20,Fringing,32,Post-treatment,Post-removal,J-Fringing,Y,20-J-R-Y,4,166,95,64,2,12
T21,Fringing,32,Post-treatment,Post-removal,K-Fringing,N,21-K-R-N,3,114,86,88,2,14
T21,Fringing,32,Post-treatment,Post-removal,K-Fringing,N,21-K-R-N,3,114,86,88,1,12
T22,Fringing,32,Post-treatment,Post-removal,K-Fringing,Y,22-K-R-Y,1,118,59,67,1,14
T23,Fringing,32,Post-treatment,Post-removal,L-Fringing,N,23-L-R-N,2,83,46,53,1,6
T23,Fringing,32,Post-treatment,Post-removal,L-Fringing,N,23-L-R-N,2,83,46,53,1,8
T24,Fringing,32,Post-treatment,Post-removal,L-Fringing,Y,24-L-R-Y,6,130,79,65,3,6
T24,Fringing,32,Post-treatment,Post-removal,L-Fringing,Y,24-L-R-Y,6,130,79,65,1,12
T24,Fringing,32,Post-treatment,Post-removal,L-Fringing,Y,24-L-R-Y,6,130,79,65,2,8
T25,Fringing,32,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,10,240,160,92,4,12
T25,Fringing,32,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,10,240,160,92,3,13
T25,Fringing,32,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,10,240,160,92,2,14
T25,Fringing,32,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,10,240,160,92,1,10
T26,Fringing,32,Post-treatment,Post-removal,M-Fringing,N,26-M-R-N,0,0,0,0,0,0
T27,Fringing,32,Post-treatment,Post-removal,N-Fringing,Y,27-N-R-Y,3,61,70,44,2,4
T27,Fringing,32,Post-treatment,Post-removal,N-Fringing,Y,27-N-R-Y,3,61,70,44,1,6
T28,Fringing,32,Post-treatment,Post-removal,N-Fringing,N,28-N-R-N,2,71,68,89,1,12
T28,Fringing,32,Post-treatment,Post-removal,N-Fringing,N,28-N-R-N,2,71,68,89,1,8
T29,Fringing,32,Post-treatment,Post-removal,O-Fringing,N,29-O-R-N,2,66,49,48,2,8
T30,Fringing,32,Post-treatment,Post-removal,O-Fringing,Y,30-O-R-Y,1,69,66,63,1,14
T31,Backreef,32,Post-treatment,Post-removal,A-Backreef,N,31-A-B-N,0,0,0,0,0,0
T32,Backreef,32,Post-treatment,Post-removal,A-Backreef,Y,32-A-B-Y,4,162,158,134,3,14
T32,Backreef,32,Post-treatment,Post-removal,A-Backreef,Y,32-A-B-Y,4,162,158,134,1,12
T33,Backreef,32,Post-treatment,Post-removal,B-Backreef,Y,33-B-B-Y,3,131,113,36,3,12
T34,Backreef,32,Post-treatment,Post-removal,B-Backreef,N,34-B-B-N,1,42,32,27,1,13
T35,Backreef,32,Post-treatment,Post-removal,C-Backreef,N,35-C-B-N,3,139,72,83,3,13
T36,Backreef,32,Post-treatment,Post-removal,C-Backreef,Y,36-C-B-Y,3,114,87,59,1,13
T36,Backreef,32,Post-treatment,Post-removal,C-Backreef,Y,36-C-B-Y,3,114,87,59,1,12
T36,Backreef,32,Post-treatment,Post-removal,C-Backreef,Y,36-C-B-Y,3,114,87,59,1,10
T37,Backreef,32,Post-treatment,Post-removal,D-Backreef,Y,37-D-B-Y,2,103,52,70,1,14
T37,Backreef,32,Post-treatment,Post-removal,D-Backreef,Y,37-D-B-Y,2,103,52,70,1,10
T38,Backreef,32,Post-treatment,Post-removal,D-Backreef,N,38-D-B-N,1,69,53,50,1,14
T39,Backreef,32,Post-treatment,Post-removal,E-Backreef,Y,39-E-B-Y,0,0,0,0,0,0
T40,Backreef,32,Post-treatment,Post-removal,E-Backreef,N,40-E-B-N,1,66,50,68,1,13
T41,Backreef,32,Post-treatment,Post-removal,F-Backreef,N,41-F-B-N,0,0,0,0,0,0
T42,Backreef,32,Post-treatment,Post-removal,F-Backreef,Y,42-F-B-Y,2,39,142,49,2,14
T43,Backreef,32,Post-treatment,Post-removal,G-Backreef,N,43-G-B-N,2,60,49,33,1,13
T43,Backreef,32,Post-treatment,Post-removal,G-Backreef,N,43-G-B-N,2,60,49,33,1,8
T44,Backreef,32,Post-treatment,Post-removal,G-Backreef,Y,44-G-B-Y,1,64,70,63,1,13
T45,Backreef,32,Post-treatment,Post-removal,H-Backreef,N,45-H-B-N,0,0,0,0,0,0
T46,Backreef,32,Post-treatment,Post-removal,H-Backreef,Y,46-H-B-Y,2,126,85,72,1,14
T46,Backreef,32,Post-treatment,Post-removal,H-Backreef,Y,46-H-B-Y,2,126,85,72,1,12
T47,Backreef,32,Post-treatment,Post-removal,I-Backreef,Y,47-I-B-Y,2,141,59,64,1,14
T47,Backreef,32,Post-treatment,Post-removal,I-Backreef,Y,47-I-B-Y,2,141,59,64,1,13
T48,Backreef,32,Post-treatment,Post-removal,I-Backreef,N,48-I-B-N,1,42,33,48,1,14
T49,Backreef,32,Post-treatment,Post-removal,J-Backreef,N,49-J-B-N,2,110,82,52,1,13
T49,Backreef,32,Post-treatment,Post-removal,J-Backreef,N,49-J-B-N,2,110,82,52,1,14
T50,Backreef,32,Post-treatment,Post-removal,J-Backreef,Y,50-J-B-Y,1,51,63,37,1,14
T51,Backreef,32,Post-treatment,Post-removal,K-Backreef,Y,51-K-B-Y,1,83,56,52,1,12
T52,Backreef,32,Post-treatment,Post-removal,K-Backreef,N,52-K-B-N,1,60,50,41,1,14
T53,Backreef,32,Post-treatment,Post-removal,L-Backreef,N,53-L-B-N,2,100,79,49,1,13
T53,Backreef,32,Post-treatment,Post-removal,L-Backreef,N,53-L-B-N,2,100,79,49,1,12
T54,Backreef,32,Post-treatment,Post-removal,L-Backreef,Y,54-L-B-Y,1,50,29,41,1,12
T55,Backreef,32,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,5,176,182,70,1,14
T55,Backreef,32,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,5,176,182,70,3,13
T55,Backreef,32,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,5,176,182,70,1,12
T56,Backreef,32,Post-treatment,Post-removal,M-Backreef,N,56-M-B-N,3,94,100,97,3,13
T57,Backreef,32,Post-treatment,Post-removal,N-Backreef,Y,57-N-B-Y,3,250,61,60,1,12
T57,Backreef,32,Post-treatment,Post-removal,N-Backreef,Y,57-N-B-Y,3,250,61,60,1,10
T57,Backreef,32,Post-treatment,Post-removal,N-Backreef,Y,57-N-B-Y,3,250,61,60,1,14
T58,Backreef,32,Post-treatment,Post-removal,N-Backreef,N,58-N-B-N,0,0,0,0,0,0
T59,Backreef,32,Post-treatment,Post-removal,O-Backreef,N,59-O-B-N,2,121,109,61,2,14
T60,Backreef,32,Post-treatment,Post-removal,O-Backreef,Y,60-O-B-Y,0,0,0,0,0,0
T31,Backreef,53,Post-treatment,Post-removal,A-Backreef,N,31-A-B-N,1,79,33,64,1,14
T32,Backreef,53,Post-treatment,Post-removal,A-Backreef,Y,32-A-B-Y,3,120,151,122,3,14
T33,Backreef,53,Post-treatment,Post-removal,B-Backreef,Y,33-B-B-Y,2,103,24,52,1,14
T33,Backreef,53,Post-treatment,Post-removal,B-Backreef,Y,33-B-B-Y,2,103,24,52,1,12
T34,Backreef,53,Post-treatment,Post-removal,B-Backreef,N,34-B-B-N,5,242,43,77,1,6
T34,Backreef,53,Post-treatment,Post-removal,B-Backreef,N,34-B-B-N,5,242,43,77,1,8
T34,Backreef,53,Post-treatment,Post-removal,B-Backreef,N,34-B-B-N,5,242,43,77,3,14
T35,Backreef,53,Post-treatment,Post-removal,C-Backreef,N,35-C-B-N,2,111,66,62,1,12
T35,Backreef,53,Post-treatment,Post-removal,C-Backreef,N,35-C-B-N,2,111,66,62,1,14
T36,Backreef,53,Post-treatment,Post-removal,C-Backreef,Y,36-C-B-Y,2,83,88,82,1,4
T37,Backreef,53,Post-treatment,Post-removal,D-Backreef,Y,37-D-B-Y,2,67,94,48,1,12
T38,Backreef,53,Post-treatment,Post-removal,D-Backreef,N,38-D-B-N,1,43,46,33,1,14
T38,Backreef,53,Post-treatment,Post-removal,D-Backreef,N,38-D-B-N,1,43,46,33,1,6
T39,Backreef,53,Post-treatment,Post-removal,E-Backreef,Y,39-E-B-Y,0,0,0,0,0,0
T40,Backreef,53,Post-treatment,Post-removal,E-Backreef,N,40-E-B-N,2,73,69,36,2,14
T41,Backreef,53,Post-treatment,Post-removal,F-Backreef,N,41-F-B-N,0,0,0,0,0,0
T42,Backreef,53,Post-treatment,Post-removal,F-Backreef,Y,42-F-B-Y,2,125,30,26,1,3
T42,Backreef,53,Post-treatment,Post-removal,F-Backreef,Y,42-F-B-Y,2,125,30,26,1,14
T43,Backreef,53,Post-treatment,Post-removal,G-Backreef,N,43-G-B-N,1,60,48,29,1,13
T44,Backreef,53,Post-treatment,Post-removal,G-Backreef,Y,44-G-B-Y,1,61,47,60,1,12
T45,Backreef,53,Post-treatment,Post-removal,H-Backreef,N,45-H-B-N,0,0,0,0,0,0
T46,Backreef,53,Post-treatment,Post-removal,H-Backreef,Y,46-H-B-Y,3,148,89,73,1,12
T46,Backreef,53,Post-treatment,Post-removal,H-Backreef,Y,46-H-B-Y,3,148,89,73,1,6
T46,Backreef,53,Post-treatment,Post-removal,H-Backreef,Y,46-H-B-Y,3,148,89,73,1,14
T47,Backreef,53,Post-treatment,Post-removal,I-Backreef,Y,47-I-B-Y,3,156,119,80,2,12
T47,Backreef,53,Post-treatment,Post-removal,I-Backreef,Y,47-I-B-Y,3,156,119,80,1,14
T48,Backreef,53,Post-treatment,Post-removal,I-Backreef,N,48-I-B-N,1,33,40,42,1,14
T49,Backreef,53,Post-treatment,Post-removal,J-Backreef,N,49-J-B-N,0,0,0,0,0,0
T50,Backreef,53,Post-treatment,Post-removal,J-Backreef,Y,50-J-B-Y,2,81,65,43,2,12
T51,Backreef,53,Post-treatment,Post-removal,K-Backreef,Y,51-K-B-Y,3,110,36,68,2,13
T51,Backreef,53,Post-treatment,Post-removal,K-Backreef,Y,51-K-B-Y,3,110,36,68,1,12
T52,Backreef,53,Post-treatment,Post-removal,K-Backreef,N,52-K-B-N,1,63,50,63,1,12
T53,Backreef,53,Post-treatment,Post-removal,L-Backreef,N,53-L-B-N,1,70,73,24,1,13
T54,Backreef,53,Post-treatment,Post-removal,L-Backreef,Y,54-L-B-Y,1,51,59,54,1,12
T55,Backreef,53,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,4,192,181,47,2,12
T55,Backreef,53,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,4,192,181,47,1,14
T55,Backreef,53,Post-treatment,Post-removal,M-Backreef,Y,55-M-B-Y,4,192,181,47,1,10
T56,Backreef,53,Post-treatment,Post-removal,M-Backreef,N,56-M-B-N,3,72,81,76,2,12
T56,Backreef,53,Post-treatment,Post-removal,M-Backreef,N,56-M-B-N,3,72,81,76,1,11
T57,Backreef,53,Post-treatment,Post-removal,N-Backreef,Y,57-N-B-Y,2,91,61,73,2,14
T58,Backreef,53,Post-treatment,Post-removal,N-Backreef,N,58-N-B-N,0,0,0,0,0,0
T59,Backreef,53,Post-treatment,Post-removal,O-Backreef,N,59-O-B-N,1,141,89,66,1,12
T60,Backreef,53,Post-treatment,Post-removal,O-Backreef,Y,60-O-B-Y,0,0,0,0,0,0
T1,Fringing,53,Post-treatment,Post-removal,A-Fringing,N,1-A-R-N,2,78,54,53,1,10
T1,Fringing,53,Post-treatment,Post-removal,A-Fringing,N,1-A-R-N,2,78,54,53,1,8
T2,Fringing,53,Post-treatment,Post-removal,A-Fringing,Y,2-A-R-Y,1,63,31,24,1,4
T3,Fringing,53,Post-treatment,Post-removal,B-Fringing,N,3-B-R-N,3,106,95,78,2,14
T3,Fringing,53,Post-treatment,Post-removal,B-Fringing,N,3-B-R-N,3,106,95,78,1,8
T4,Fringing,53,Post-treatment,Post-removal,B-Fringing,Y,4-B-R-Y,8,168,169,82,3,14
T4,Fringing,53,Post-treatment,Post-removal,B-Fringing,Y,4-B-R-Y,8,168,169,82,1,12
T4,Fringing,53,Post-treatment,Post-removal,B-Fringing,Y,4-B-R-Y,8,168,169,82,1,10
T4,Fringing,53,Post-treatment,Post-removal,B-Fringing,Y,4-B-R-Y,8,168,169,82,1,8
T5,Fringing,53,Post-treatment,Post-removal,C-Fringing,N,5-C-R-N,3,142,105,85,2,12
T5,Fringing,53,Post-treatment,Post-removal,C-Fringing,N,5-C-R-N,3,142,105,85,1,8
T6,Fringing,53,Post-treatment,Post-removal,C-Fringing,Y,6-C-R-Y,0,0,0,0,0,0
T7,Fringing,53,Post-treatment,Post-removal,D-Fringing,N,7-D-R-N,2,123,62,60,1,12
T7,Fringing,53,Post-treatment,Post-removal,D-Fringing,N,7-D-R-N,2,123,62,60,1,6
T8,Fringing,53,Post-treatment,Post-removal,D-Fringing,Y,8-D-R-Y,2,68,73,51,1,12
T8,Fringing,53,Post-treatment,Post-removal,D-Fringing,Y,8-D-R-Y,2,68,73,51,1,8
T10,Fringing,53,Post-treatment,Post-removal,E-Fringing,Y,10-E-R-Y,4,70,128,32,2,12
T10,Fringing,53,Post-treatment,Post-removal,E-Fringing,Y,10-E-R-Y,4,70,128,32,1,6
T10,Fringing,53,Post-treatment,Post-removal,E-Fringing,Y,10-E-R-Y,4,70,128,32,1,8
T9,Fringing,53,Post-treatment,Post-removal,E-Fringing,N,9-E-R-N,0,0,0,0,0,0
T11,Fringing,53,Post-treatment,Post-removal,F-Fringing,Y,11-F-R-Y,1,35,33,37,1,8
T12,Fringing,53,Post-treatment,Post-removal,F-Fringing,N,12-F-R-N,3,86,58,44,1,14
T12,Fringing,53,Post-treatment,Post-removal,F-Fringing,N,12-F-R-N,3,86,58,44,1,12
T12,Fringing,53,Post-treatment,Post-removal,F-Fringing,N,12-F-R-N,3,86,58,44,1,10
T13,Fringing,53,Post-treatment,Post-removal,G-Fringing,Y,13-G-R-Y,7,106,110,22,4,12
T13,Fringing,53,Post-treatment,Post-removal,G-Fringing,Y,13-G-R-Y,7,106,110,22,2,5
T13,Fringing,53,Post-treatment,Post-removal,G-Fringing,Y,13-G-R-Y,7,106,110,22,1,3
T14,Fringing,53,Post-treatment,Post-removal,G-Fringing,N,14-G-R-N,0,0,0,0,0,0
T15,Fringing,53,Post-treatment,Post-removal,H-Fringing,N,15-H-R-N,2,50,32,36,1,14
T15,Fringing,53,Post-treatment,Post-removal,H-Fringing,N,15-H-R-N,2,50,32,36,1,10
T16,Fringing,53,Post-treatment,Post-removal,H-Fringing,Y,16-H-R-Y,4,81,80,69,1,14
T16,Fringing,53,Post-treatment,Post-removal,H-Fringing,Y,16-H-R-Y,4,81,80,69,1,12
T16,Fringing,53,Post-treatment,Post-removal,H-Fringing,Y,16-H-R-Y,4,81,80,69,1,10
T16,Fringing,53,Post-treatment,Post-removal,H-Fringing,Y,16-H-R-Y,4,81,80,69,1,6
T17,Fringing,53,Post-treatment,Post-removal,I-Fringing,N,17-I-R-N,4,71,85,78,2,12
T17,Fringing,53,Post-treatment,Post-removal,I-Fringing,N,17-I-R-N,4,71,85,78,2,14
T18,Fringing,53,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,4,90,70,16,1,12
T18,Fringing,53,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,4,90,70,16,1,9
T18,Fringing,53,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,4,90,70,16,1,6
T18,Fringing,53,Post-treatment,Post-removal,I-Fringing,Y,18-I-R-Y,4,90,70,16,1,4
T19,Fringing,53,Post-treatment,Post-removal,J-Fringing,N,19-J-R-N,5,110,160,85,2,12
T19,Fringing,53,Post-treatment,Post-removal,J-Fringing,N,19-J-R-N,5,110,160,85,3,10
T20,Fringing,53,Post-treatment,Post-removal,J-Fringing,Y,20-J-R-Y,2,105,31,20,1,14
T20,Fringing,53,Post-treatment,Post-removal,J-Fringing,Y,20-J-R-Y,2,105,31,20,1,12
T21,Fringing,53,Post-treatment,Post-removal,K-Fringing,N,21-K-R-N,0,0,0,0,0,0
T22,Fringing,53,Post-treatment,Post-removal,K-Fringing,Y,22-K-R-Y,0,0,0,0,0,0
T23,Fringing,53,Post-treatment,Post-removal,L-Fringing,N,23-L-R-N,3,80,42,55,2,14
T23,Fringing,53,Post-treatment,Post-removal,L-Fringing,N,23-L-R-N,3,80,42,55,1,12
T24,Fringing,53,Post-treatment,Post-removal,L-Fringing,Y,24-L-R-Y,2,31,40,25,2,10
T25,Fringing,53,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,9,183,161,60,3,14
T25,Fringing,53,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,9,183,161,60,3,12
T25,Fringing,53,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,9,183,161,60,2,10
T25,Fringing,53,Post-treatment,Post-removal,M-Fringing,Y,25-M-R-Y,9,183,161,60,1,6
T26,Fringing,53,Post-treatment,Post-removal,M-Fringing,N,26-M-R-N,0,0,0,0,0,0
T27,Fringing,53,Post-treatment,Post-removal,N-Fringing,Y,27-N-R-Y,1,31,40,24,1,6
T28,Fringing,53,Post-treatment,Post-removal,N-Fringing,N,28-N-R-N,1,41,50,32,1,14
T29,Fringing,53,Post-treatment,Post-removal,O-Fringing,N,29-O-R-N,2,39,41,27,1,10
T29,Fringing,53,Post-treatment,Post-removal,O-Fringing,N,29-O-R-N,2,39,41,27,1,3
T30,Fringing,53,Post-treatment,Post-removal,O-Fringing,Y,30-O-R-Y,1,52,41,40,1,14
